State,Population,Apportionment,ElectoralVotes,AverageConstituency,RelativeUnfairness
Alabama,2832961,9,11,257541.909091,6.008134
Alaska,72524,,,,
Arizona,499261,2,4,124815.250000,2.396426
Arkansas,1949387,7,9,216598.555556,4.893999
California,6907387,23,25,276295.480000,6.518449
Colorado,1123296,4,6,187216.000000,4.094452
Connecticut,1709242,6,8,213655.250000,4.813907
Delaware,266505,1,3,88835.000000,1.417345
DistrictofColumbia,663091,,,,
Florida,1897414,6,8,237176.750000,5.453965
Georgia,3123723,10,12,260310.250000,6.083465
Hawaii,422770,,,,
Idaho,524873,2,4,131218.250000,2.570662
Illinois,7897241,26,28,282044.321429,6.674884
Indiana,3427796,11,13,263676.615385,6.175069
Iowa,2538268,8,10,253826.800000,5.907040
Kansas,1801028,6,8,225128.500000,5.126112
Kentucky,2845627,9,11,258693.363636,6.039467
Louisiana,2363880,8,10,236388.000000,5.432502
Maine,847226,3,5,169445.200000,3.610879
Maryland,1821244,6,8,227655.500000,5.194876
Massachusetts,4316721,14,16,269795.062500,6.341562
Michigan,5256106,17,19,276637.157895,6.527747
Minnesota,2792300,9,11,253845.454545,5.907547
Mississippi,2183796,7,9,242644.000000,5.602737
Missouri,3784664,13,15,252310.933333,5.865790
Montana,559456,2,4,139864.000000,2.805927
Nebraska,1315834,4,6,219305.666667,4.967664
Nevada,110247,1,3,36749.000000,0.000000
NewHampshire,491524,2,4,122881.000000,2.343792
NewJersey,4160165,14,16,260010.312500,6.075303
NewMexico,531818,2,4,132954.500000,2.617908
NewYork,13479142,45,47,286790.255319,6.804029
NorthCarolina,3571623,12,14,255115.928571,5.942119
NorthDakota,641935,2,4,160483.750000,3.367024
Ohio,6907612,23,25,276304.480000,6.518694
Oklahoma,2336434,8,10,233643.400000,5.357817
Oregon,1089684,4,6,181614.000000,3.942012
Pennsylvania,9900180,33,35,282862.285714,6.697142
RhodeIsland,713346,2,4,178336.500000,3.852826
SouthCarolina,1899804,6,8,237475.500000,5.462094
SouthDakota,642961,2,4,160740.250000,3.374003
Tennessee,2915841,10,12,242986.750000,5.612064
Texas,6414824,21,23,278905.391304,6.589469
Utah,550310,2,4,137577.500000,2.743707
Vermont,359231,1,3,119743.666667,2.258420
Virginia,2677773,9,11,243433.909091,5.624232
Washington,1736191,6,8,217023.875000,4.905572
WestVirginia,1901974,6,8,237746.750000,5.469475
Wisconsin,3137587,10,12,261465.583333,6.114903
Wyoming,250742,1,3,83580.666667,1.274366